Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=ecd137e892563527,"KB데이타시스템인재풀등록[DevOps개발,iOS개발부문]",KB데이타시스템서울마포구,,등컨테이너기술에대한이해-TDD/DDD에대한이해-Python.Nodeis등의언어사용경험모바일개발(iOS)경력0명[지원자격...통신·모바일·게임>응용프로그래머>Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=074bbbc1b7c4d596,저축은행디지털마케팅본부데이터분석경력자,국내자본저축은행서울구로구,,"고객분석,마케팅분석-마케팅기획및실행조직과협업경험,마케팅데이터모델링개발능력-R,Python,Tableau,SAS,Orange,SQL등데이터분석의업무를수행할수있는개발언어에..."
https://kr.indeed.com/viewjob?jk=8c651677f4732df6,BlockchainSoftwareEngineer,SuccessKorea성남분당구,,"이를이용한서비스개발에관심있는분-Java/C,C++/Python등의개발언어를능숙하게다루시는분-대용량트래픽/데이터를...분-Java/C,C++/Python등의개발언어를능숙하게..."
https://kr.indeed.com/viewjob?jk=8c4e16d1785c009f,"웹/모바일기반벡엔드/프론트엔드개발_대리,과장급_대기업",에이치알코리아대한민국,,"ReactJS*우대사항ㆍ유통사개발프로젝트경험(시스템통합,ERP,SCM구축등)-백화점/마트/수퍼(면세점,편의점제외)·Python기반프로그래밍개발가능(머신러닝패키지활용)"
https://kr.indeed.com/viewjob?jk=5d0fb885557980af,20년차량용반도체/전장SW전문가경력상시[제어평가],현대오트론서울강남구,,"MIL/SIL/HIL시스템경험·지식·C/C++,Java,Python,Labview등언어활용능력·Linux계열OS활용기술...통신·모바일·게임>응용프로그래머>Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=5e6a30865a5ba13e,서버개발자,SuccessKorea성남판교역,,"유자-경력:서버개발경력5년이상-Html,JSP,PHP,Python,Javascript,Node.js등개발언어능숙-각종...Html,JSP,PHP,Python,Javascript,Node..."
https://kr.indeed.com/viewjob?jk=22387439796f984d,"Principal,QuantitativeUXResearcher(U...",Coupang3.0서울,,"UX우선순위와솔루션을제시자격요건:5년이상의데이터분석관련경험SQL,Excel,Python,R/SAS등통계분석용소프트웨어활용경험데이터와인사이트를시각화하여간단명료하게커뮤니케이..."
https://kr.indeed.com/viewjob?jk=0775a7b8bbca016c,SeniorServerEngineer,레이니스트서울,,"개발자들에게코칭제공자격요건5년이상서버엔지니어링경험보유Golang/Java(Kotlin)/Python중하나이상에전문성을보유,고도화된서비스설계및개발경험보유금융관련IT업무경력보유자..."
https://kr.indeed.com/viewjob?jk=2900b41c0b091e46,머신러닝개발자,SuccessKorea서울,,"격요건]-수학,컴퓨터공학,통계학,산업공학등직무관련전공-Python,Java등프로그래밍개발능력-CNN,RNN,GAN...산업공학등직무관련전공-Python,Java등프로그래밍개발..."
https://kr.indeed.com/viewjob?jk=23051a1d08a6ca20,PrincipalBusinessAnalyst(GlobalOpera...,Coupang3.0서울,,"experienceinotherdataprocessingandmodelinglanguage(R,Python,etc.)Experiencetoinitiateanddriveanalytics..."
https://kr.indeed.com/viewjob?jk=453d85d6af20f14e,DevOps엔지니어(과장~차장급),TV홈쇼핑성남판교역+1지역,,"AWS경험2년이상)-퍼블릭클라우드구축경험-다음중하나의언어를이용한업무자동화기능:Python,Node.js,Go-클라우드기반시스템구축&운영자동화경험(Ansible,Chef..."
https://kr.indeed.com/viewjob?jk=eb4f78c31e1860f4,데이터분석가,SuccessKorea서울+1지역,,"데이터를기반으로현업부서와원활한커뮤니케이션능력보유-SQL활용능통자우대사항:-Python,R,하둡,Spark등활용가능자-통계관련또는컴퓨터공학관련전공자-Google..."
https://kr.indeed.com/viewjob?jk=54a07508e05274ad,게임플랫폼서버개발,SuccessKorea성남서현역,,"scala(이외C++,Go,Python등)을이용한서버개발...이력서자격요건-Java/scala(이외C++,Go,Python등)을이용한서버개발경력3년이상-오픈소스기술을바탕..."
https://kr.indeed.com/viewjob?jk=33fbfcd01ae23602,시스템프로그래머,에너지거래소및에너지데이터중개서울,,"웹서비스구현[자격요건]-네트워크개발경험-웹백앤드서비스개발경험-Python,Node.js숙련[우대사항]-Python웹플랫폼(asyncio이용)개발경험-Modbus,CAN,Socket..."
https://kr.indeed.com/viewjob?jk=7c6adadfcaf4e524,[신입/경력]Backend개발자,뷰노코리아서울서초구,,통신·모바일·게임>응용프로그래머>Python|인터넷·IT·통신·모바일·게임...게임>응용프로그래머>C#|인터넷·IT·통신·모바일·게임>웹프로그래머>Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신...
https://kr.indeed.com/viewjob?jk=91805cdafa75095d,DataAnalyst(3년이상),SuccessKorea서울,,"를통해온/오프라인상에서새로운고객경험을실험하고,확산하는것에관심과열정이있으신분-SQL,Python,R등프로그래밍언어또는데이터분석언어1개이상에능숙하신분-DataMining및..."
https://kr.indeed.com/viewjob?jk=4da2bf3e827ff04e,헬스케어분야응용SW개발자,아이티에듀고서울금천구,"연봉30,000,000원","상품개발또는경험이많고이를잘활용할줄아는개발자nodejs/typescript/python/Java[우대사항]NCP,AWS,GCP,AZUR등클라우드상품을활용한서비스개발경험..."
https://kr.indeed.com/viewjob?jk=7cb03107e104935c,MonetizationDataAnalyst,하이퍼커넥트서울,,"만들기위한추진력데이터사이언스적접근을위한지식PreferredQualificationsPython또는R활용역량BigQuery,DataStudio활용경험머신러닝모델개발경험Hiring..."
https://kr.indeed.com/viewjob?jk=521e6790bfc52607,제어엔지니어,SuccessKorea성남중원구,,"중국어등)-언어개발가능자(VisualBasic,C#,Python)-모터튜닝가능자[전형절차]1차면접,2차면접...VisualBasic,C#,Python)-모터튜닝가능자..."
https://kr.indeed.com/viewjob?jk=9681ee519a4f870e,게임밸런스(게임시뮬레이터),SuccessKorea성남분당구,,프로그램개발경력3년이상이신분(언어불문)-Scala혹은Python등새로운언어의학습의지가있으신분-숫자에대한감각이있으...언어불문)-Scala혹은Python등새로운언어의학습의지가...
https://kr.indeed.com/viewjob?jk=4983bec8167924da,ITSpecialist,SuccessKorea서울여의도역,,"모르는것에대해서수긍하고배우려고한다.[우대사항]-Python중상급자.-Web,DB(MariaDB외),NoSQL(Redis...배우려고한다.[우대사항]-Python중상급자.-Web,DB..."
https://kr.indeed.com/viewjob?jk=4bc1dd7c5bfa7435,Technical아티스트(온라인),SuccessKorea서울,,"지는역할[자격요건]-Python,MEL또는Maxscript...서류심사기술테스트1차면접2차면접합격자발표자격요건-Python,MEL또는Maxscript같은스크립트언어사용경험..."
https://kr.indeed.com/viewjob?jk=74c4f418a78c820f,데이터전문가,SuccessKorea서울삼성동,,"경험-프로그래밍언어중2가지이상능숙하게사용(R,Scala,Python,Java)-컴퓨터사이언스또는통계관련박사학위자우대...능숙하게사용(R,Scala,Python,Java)-컴퓨터사이언..."
https://kr.indeed.com/viewjob?jk=9b6fd8a39f3af2fe,파이썬개발,위대한상사서울강남구,"연봉40,000,000원-60,000,000원",비식별데이터)처리및DB적재•위경도기반의데이터처리•상권분석자동화시스템[자격요건]•Python프로그래밍능력•RDBMS및쿼리에대한이해•리눅스환경에서개발경험•Pandas및...
https://kr.indeed.com/viewjob?jk=bd7fef3a83bae958,응용프로그래머[초급],SuccessKorea서울성수동,,"웹UI개발경험-SVN,RedMine환경[우대사항]-Python언어개발가능자우대-CRM개발유경험자우대[전형절차...RedMine환경[우대사항]-Python언어개발가능자우대..."
https://kr.indeed.com/viewjob?jk=7aa43c167847c40f,DataScientist(고객데이터분석),SuccessKorea서울,,"사이언스직무경력3년이상필수조건:-데이터분석및모델링을위한분석Tool활용능력(Python,R등)-대용량데이터의효율적사용을위한빅데이터분석플랫폼경험자(Hadoop,Hive..."
https://kr.indeed.com/viewjob?jk=4703aab992909e94,머신러닝엔지니어(5년이상),SuccessKorea서울,,"경력5년이상-업무내용:IDCorCloud환경에서AI서비스설계/운영필수사항:-Python중급이상-PyTorch,Tensorflow,Keras중1개이상사용가능-AI관련지식..."
https://kr.indeed.com/viewjob?jk=57eeb0cd4196cbe4,기술적진단/침해분석(대리~과장),SuccessKorea서울,,"니어링,DigitalForensic경험자우대-C,Java,Python프로그래밍,CISA,CISSP,SIS,PMP자격증우대...우대-C,Java,Python프로그래밍,CISA,CISSP..."
https://kr.indeed.com/viewjob?jk=caccb1d9be6bc918,운영(BusinessOperationManagement)경력자,유명메신저회사서울성동구,,"분(특히O2O나모빌리티분야)?데이터를분석하고,프로세스개선에적용할수있는분(SQL,Python,R등)[기타조건]-경력:5년이상-학력:대졸이상-채용조건:정규직-근무지..."
https://kr.indeed.com/viewjob?jk=a7b63456fe29200d,서버개발엔지니어(사원~대리),SuccessKorea서울가산디지털단지역,,"사원~대리)(지원마감)회사소개가상화폐거래/결재/채굴기업업무내용/자격요건담당직무-PHP,Python,Javascript-Mysql-OAuth-AmazonSQS[자격요건]-대학교수준의..."
https://kr.indeed.com/viewjob?jk=3d2919e619aad7ea,NFS-TechnicalArtist,SuccessKorea서울,,"역할[자격요건]-Python,MEL또는Maxscript같은스크립트언어사용경험-PHOTOSHOP,MAYA등의아트웍툴사용[우대사항]-C#또는Python언어에대한이해및활용..."
https://kr.indeed.com/viewjob?jk=44419308a1995b82,플랫폼(크라우드펀딩혹은마켓플레이스)IT개발자,SuccessKorea서울강남구,,초대졸이상-백엔드개발경력4년이상-JavaScript/JAVA/Python등하나의언어사용가능한자-웹서비스및RESTful에대한...JavaScript/JAVA/Python등하나의언어사용가능한자...
https://kr.indeed.com/viewjob?jk=e07bf0c08b59ca0c,JavascriptDeveloper,SuccessKorea서울,,"Cross-browerScripting및Markup가능하신분-git사용하실수있는분-Python,PHP등의코드를이해하실수있는분[젼형절차]서류전형-코딩테스트-대면면접(1~2회)-채용..."
https://kr.indeed.com/viewjob?jk=9611a65456a23a06,FIFA-TechnicalArtist,SuccessKorea서울,,"script,MelScript중1)사용경험-C#또는Python언어에대한이해및활용-아트웍관련툴제작또는플러그인제작...중1)사용경험-C#또는Python언어에대한이해및활용..."
https://kr.indeed.com/viewjob?jk=be626f46db046dcc,AI구축서비스Delivery개발자(경력직),엠티콤서울서초구,,"역량자격요건:1.5년이상의웹서비스개발프로젝트경험을보유하신분2.Java/NodeJS/Python등의백엔드개발언어중1개이상에능통하신분3.ReactJS,VueJS등의프론트엔드프레임..."
https://kr.indeed.com/viewjob?jk=6561c937add50cc4,SW개발,SuccessKorea서울신논현역,,"및구현-빅데이타플랫폼/데이타관리[자격요건]-JAVA,Python등OOP(ObjectOrientedProgramming)언어...국문이력서자격요건-JAVA,Python등OOP(Object..."
https://kr.indeed.com/viewjob?jk=94186b23eca3f106,ClientSoftwareEngineer-NFS(코어엔지니어),SuccessKorea서울강남구,,"네트워크및보안문제에대한지식-C#,Javascript,Python및기타프로그래밍언어-다양한게임출시경험-자동차공학에...C#,Javascript,Python및기타프로그래밍언어-다양..."
https://kr.indeed.com/viewjob?jk=dcc2877b33c5b511,보안개발전문가,SuccessKorea서울삼성동,,"요건]-보안취약점점검관련경력5년이상-Java,PHP,Python등의언어로프로그램개발필수-IT인프라에대한지식보유자...년이상-Java,PHP,Python등의언어로프로그램개발필수..."
https://kr.indeed.com/viewjob?jk=a2089ff8a19a429f,FullstackSW개발자,신재생에너지분야솔루션기업성남판교역,,"자격요건]-유관업무경력5년이상-ProgrammmingLanguage:C/C++,Java,Python-데이터베이스기초설계및연동-웹기반UI개발경험[우대요건]-분산형시스템개발경험-AI..."
https://kr.indeed.com/viewjob?jk=9bc37251d0a3154e,"SpecializedSolutionsArchitectIII,Ana...",AmazonWebServicesKoreaLLC서울,,"Knowledge...leastoneormoreprograminglanguages...Python,JavaandScala.·Handsonexperienceleadinglarge..."
https://kr.indeed.com/viewjob?jk=b41f8c37de8fae06,빅데이터분석,SuccessKorea서울삼성동,,"프로그래밍언어중한개이상사용가능자(R/SPLUS,Python,JAVA,etc.)-숙련된Excel/TableauSkill보유...사용가능자(R/SPLUS,Python,JAVA,etc.)-숙련된..."
https://kr.indeed.com/viewjob?jk=8461bfe74b0948cf,SW품질보증전문가,SuccessKorea서울,,Fortify룰셋및표준수립경험자-Java또는Python이용하여대시보드등의개발이가능자[전형절차]서류-면접[제출서류...수립경험자-Java또는Python이용하여대시보드등의개발이...
https://kr.indeed.com/viewjob?jk=c483dda7deecb505,긴급]DatabaseAdministrator&DataWarehou...,SuccessKorea서울강남구,,"ETL프로세스개발경험-스크립팅또는프로그래밍경험(Python,Java,Perl,PHP,Shellscript등)[전형절차...스크립팅또는프로그래밍경험(Python,Java,Perl,PHP..."
https://kr.indeed.com/viewjob?jk=f9ba0aceb3ab191b,FullStackengineer,SuccessKorea서울공덕동,,"개발경험자-리눅스기반서버운영경험필수[우대사항]-Python,PHP,Shell등을이용한데이터및DB처리스크립트개발...경험필수[우대사항]-Python,PHP,Shell등을이용한..."
https://kr.indeed.com/viewjob?jk=15c8fa49b690a9e5,포털신규검색기술파일럿개발(사원-차장),SuccessKorea서울,,"결정[자격요건]-JAVA,Python,R,JavaScript...합격자에한해고객사입사지원서오픈됨자격요건-JAVA,Python,R,JavaScript등최소1개의언어이상개발이가능한..."
https://kr.indeed.com/viewjob?jk=2936adf2a7318db5,웹개발자,SuccessKorea서울잠실역,,"이스,카산드라등)경험자우대-TDD및스크립트언어(Ruby,Python,Javascript)경험자우대[전형절차]실무면접(테크면...및스크립트언어(Ruby,Python,Javascript)경험자..."
https://kr.indeed.com/viewjob?jk=e91a1e74c8e477b7,응용프로그래머,SuccessKorea서울성수동,,"웹UI개발경험-SVN,RedMine환경[우대사항]-Python언어개발가능자우대-CRM개발유경험자우대[전형절차...RedMine환경[우대사항]-Python언어개발가능자우대..."
https://kr.indeed.com/viewjob?jk=29f023eff21a6f01,CloudInfraPlatformArchitect(10년이상),SuccessKorea대한민국,,"험자-IaC,CI/CD관련업무경험자(Terraform,Ansible등)-Java,Python,Go중한가지언어를능숙하게사용-Public/PrivateCloudArchitect유경험..."
